aback,taken by surprise or caught off guard,,,,,,,,,,,
burns,(of a fire or flame) produce flames and light.,,,,,,,,,,,
burnt,past and past participle of burn.,,,,,,,,,,,
burps,expel gas noisily from the stomach through the mouth; belch.,,,,,,,,,,,
burqa,a long, loose garment covering the whole body from head to feet, worn in public by women in many Muslim countries.,,,,,,,,,
burro,a small donkey, especially one used as a pack animal in the southwestern US.,,,,,,,,,,
burrs,a rough, prickly case around the seeds of certain plants.,,,,,,,,,,
bursa,a fluid-filled sac or saclike cavity, especially one countering friction at a joint.,,,,,,,,,,
burst,break open or apart suddenly and violently, especially as a result of an impact or internal pressure.,,,,,,,,,,
bused,transport in a communal road vehicle.,,,,,,,,,,,
buses,a large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.,,,,,,,,,,
bushy,(of a plant or part of a plant) growing thickly.,,,,,,,,,,,
busts,a woman's breasts.,,,,,,,,,,,
busty,having a large bust; bosomy.,,,,,,,,,,,
butch,(of a woman) having characteristics associated with men, especially physically strong or overtly masculine ones.,,,,,,,,,,
butte,a flat-topped rock or hill formation with steep sides.,,,,,,,,,,,
butte,a flat-topped rock or hill formation with steep sides.,,,,,,,,,,,
butts,a person's buttocks.,,,,,,,,,,,
buxom,(of a woman) plump, especially with large breasts.,,,,,,,,,,
buyer,a person who makes a purchase.,,,,,,,,,,,
buzzy,characterized by or making a low-pitched humming or buzzing sound.,,,,,,,,,,,
bylaw,a regulation made by a local authority or corporation.,,,,,,,,,,,
byres,a cowshed.,,,,,,,,,,,
bytes,a group of binary digits or bits (usually eight) operated on as a unit and from which various kinds of data can be recorded in computer storage.,,,,,,,,,,,
byway,a minor road or path.,,,,,,,,,,,
cabal,a secret political clique or faction.,,,,,,,,,,,
cabby,a taxi driver.,,,,,,,,,,,
caber,a long, thick wooden pole or log thrown as a test of strength in the Scottish Highland games.,,,,,,,,,,
cabin,a private room or compartment on a ship.,,,,,,,,,,,
cable,a thick rope of wire or nonmetallic fiber, typically used for construction, mooring ships, and towing vehicles.,,,,,,,,
cacao,a small tropical American evergreen tree (Theobroma cacao) having broad, leathery leaves and bearing large, oval, melonlike pods containing seeds surrounded by a sweetish, pulpy flesh: the seeds are the source of cocoa, chocolate, and cocoa butter.,,,,,
cache,a collection of items of the same type stored in a hidden or inaccessible place.,,,,,,,,,,,
cacti,a succulent plant with a thick, fleshy stem that typically bears spines, lacks leaves, and has brilliantly colored flowers. Cacti are native to arid regions of the New World and are cultivated elsewhere, especially as houseplants.,,,,,,,
caddy,a small storage container, typically one with divisions.,,,,,,,,,,
cadet,a young trainee in the armed services or police force.,,,,,,,,,,,
cadre,a small group of people specially trained for a particular purpose or profession.,,,,,,,,,,,
cafes,a small restaurant selling light meals and drinks.,,,,,,,,,,,
caged,enclose (a bird or small animal) in a cage.,,,,,,,,,,,
cages,enclose (a bird or small animal) in a cage.,,,,,,,,,,,
cagey,reluctant to give information owing to caution or suspicion.,,,,,,,,,,,
cairn,a mound of rough stones built as a memorial or landmark, typically on a hilltop or skyline.,,,,,,,,,,
caked,cover and become encrusted with a solid layer.,,,,,,,,,,,
cakes,a sweet baked food made from a mixture of flour, sugar, and other ingredients, baked and often decorated.,,,,,,,,
cakey,resembling or characteristic of cake.,,,,,,,,,,,
calfs,the young of a cow, bull, or other domestic bovine animal.,,,,,,,,,
calif,a spiritual leader of Islam, claiming succession from Muhammad.,,,,,,,,,,
calla,a tropical American plant that is widely grown for its brightly colored funnel-shaped flowers.,,,,,,,,,,,
calls,make a phone call.,,,,,,,,,,,
calms,(of a person, action, or manner) not showing or feeling nervousness, anger, or other strong emotions.,,,,,,,
calve,(of a glacier or iceberg) release or produce (smaller pieces of ice).,,,,,,,,,,,
calyx,the sepals of a flower, typically forming a whorl that encloses the petals and forms a protective layer around a flower in bud.,,,,,,,,,,
camel,a large, long-necked ungulate mammal of arid country, with long slender legs, broad cushioned feet, and either one or two humps on the back. Camels can survive for long periods without food or drink, chiefly by using up the fat reserves in their humps.,,,,,,
cameo,a piece of jewelry, typically oval in shape, consisting of a portrait in profile carved in relief on a background of a different color.,,,,,,,,,
campo,a field.,,,,,,,,,,,
camps,a place with temporary accommodations of huts, tents, or other structures, typically used by soldiers, refugees, or travelers.,,,,,,
campy,(of a movie, song, etc.) deliberately exaggerated and theatrical in style, typically to humorous effect.,,,,,,,,
canal,an artificial waterway constructed to allow the passage of boats or ships inland or to convey water for irrigation.,,,,,,,,,,,
candy,a sweet food made with sugar or syrup combined with fruit, chocolate, or nuts.,,,,,,,,,
caned,beat (someone) with a cane as a punishment.,,,,,,,,,,,
caner,a person who uses a cane.,,,,,,,,,,,
canes,the hollow stem of a plant, especially the bamboo stem of a reed.,,,,,,,,,,
canid,a mammal of the dog family (Canidae), which includes the wolves, foxes, jackals, and domestic dogs.,,,,,,,
canna,a tropical American plant with bright flowers and ornamental foliage, widely cultivated as a greenhouse or bedding plant.,,,,,,,,,,
canny,having or showing shrewdness and good judgment, especially in money or business matters.,,,,,,,,,,
canoe,a narrow, keelless boat with pointed ends, propelled by a paddle or paddles.,,,,,,,,,
canon,a general law, rule, principle, or criterion by which something is judged.,,,,,,,,
canto,one of the sections into which certain long poems are divided.,,,,,,,,,,,
caped,(of a garment) having a cape.,,,,,,,,,,,
caper,a playful skipping movement.,,,,,,,,,,,
capes,a sleeveless cloak or shawl, hanging over the back and fastened at the neck.,,,,,,,,,,
capon,a cockerel that has been castrated to improve the quality of its flesh for food.,,,,,,,,,,,
capos,a clamp fastened across the fingerboard of a guitar or other fretted stringed instrument to raise the pitch of all the strings uniformly, thereby shortening the playable length and allowing the player to transpose.,,,,,,,,,,
caput,the head, or upper part of a structure or organism.,,,,,,,,,,
carat,a unit of weight for precious stones and pearls, equivalent to 200 milligrams.,,,,,,,,,,
carbo,a unit of carbohydrate equivalent to 1 gram of glucose.,,,,,,,,,,,
carbs,short for carbohydrates.,,,,,,,,,,,
cards,a piece of thick, stiff paper or thin pasteboard, especially one used for writing or printing on.,,,,,,,,,
cared,feel concern or interest; attach importance to something.,,,,,,,,,,,
carer,a family member or paid helper who regularly looks after a child or a sick, elderly, or disabled person.,,,,,,,,,
cares,feel concern or interest; attach importance to something.,,,,,,,,,,,
cargo,goods carried on a ship, aircraft, or motor vehicle.,,,,,,,,,
carob,a tropical tree of the pea family, cultivated for its edible pods, which are used chiefly as animal fodder or ground into a flour that is sweet and thickening.,,,,,,,,,
carol,a religious folk song or popular hymn, particularly one associated with Christmas.,,,,,,,,,,
carom,a collision, especially one involving billiard balls.,,,,,,,,,,
caros,An automobile.,,,,,,,,,,,
carps,complain or find fault continually, typically about trivial matters.,,,,,,,,,,
carry,support and move (someone or something) from one place to another.,,,,,,,,,,,
carte,a restaurant's list of dishes.,,,,,,,,,,,
carts,a strong open vehicle with two or four wheels, typically used for carrying loads and pulled by a horse.,,,,,,,,,,
carve,cut (a hard material) in order to produce an object, design, or inscription.,,,,,,,,,
cased,inspect or examine something.,,,,,,,,,,,
cases,an instance of a particular situation; a situation typical of a group of people or things.,,,,,,,,,,,
casks,a large container like a barrel, made of wood, metal, or plastic and used for storing liquids, typically alcoholic drinks.,,,,,,,
caste,the system of dividing society into hereditary classes.,,,,,,,,,,,
casts,throw (something) forcefully in a specified direction.,,,,,,,,,,,
catch,intercept and hold (something that has been thrown, propelled, or dropped).,,,,,,,,,
cater,provide food and drink, typically at social events and in a professional capacity.,,,,,,,,,,
catty,devious and spiteful; typically used to describe female behavior.,,,,,,,,,,,
caulk,seal (a gap or seam) with a waterproof filler or sealant.,,,,,,,,,,,
cause,a person or thing that gives rise to an action, phenomenon, or condition.,,,,,,,,,
caved,collapse or cause to collapse.,,,,,,,,,,,
caver,a person who explores caves.,,,,,,,,,,,
caves,a large underground chamber, typically of natural origin, in a hillside or cliff.,,,,,,,,,
cavil,make petty or unnecessary objections.,,,,,,,,,,,
cease,bring or come to an end.,,,,,,,,,,,
cecal,relating to the cecum, the pouch connected to the junction of the small and large intestines.,,,,,,,,,,
cecum,the part of the large intestine that is below the junction of the small intestine and that is blind-ended and larger in the horse and other herbivores than in humans or the carnivorous animals and has a large pouch at its base in humans.,,,,,,,,,,,
cedar,a large coniferous tree with aromatic wood, native to the mountainous regions of the western US and Canada. ,,,,,,,,,,
ceded,give up (power or territory).,,,,,,,,,,,
cedes,formally surrender possession of.,,,,,,,,,,,
ceili,a social event at which there is Scottish or Irish folk music and singing, traditional dancing, and storytelling.,,,,,,,,,
celeb,a famous person.,,,,,,,,,,,
cello,a bass instrument of the violin family, held upright on the floor between the legs of the seated player.,,,,,,,,,,
cells,the smallest structural and functional unit of an organism, typically microscopic and consisting of cytoplasm and a nucleus enclosed in a membrane. ,,,,,,,,,,
celts,a member of a group of peoples inhabiting much of Europe and Asia Minor in pre-Roman times, including the Gauls and the Irish.,,,,,,,,,,
cents,a monetary unit of the United States, equal to one hundredth of a dollar.,,,,,,,,,,
chads,a piece of waste paper produced by punching a hole.,,,,,,,,,,,
chafe,(of something restrictive or too tight) make (a part of the body) sore by rubbing against it.,,,,,,,,,,,
chaff,finely cut straw or hay used as fodder.,,,,,,,,,,,
chain,a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads.,,,,,,,,,,,
chair,a separate seat for one person, typically with a back and four legs.,,,,,,,,,,
chalk,a white soft earthy limestone (calcium carbonate) formed from the skeletal remains of sea creatures.,,,,,,,,,,,
champ,(of a horse) bite and paw the ground impatiently.,,,,,,,,,,,
chana,an Indian dish of vegetables, fruit, or nuts cooked in spices and typically served with rice.,,,,,,,,,
chant,say or shout repeatedly in a singsong tone.,,,,,,,,,,,
chaos,complete disorder and confusion.,,,,,,,,,,,
chaps,a man's leather leggings, now used especially by cowboys.,,,,,,,,,,
chard,a beet of a variety with broad white leaf stalks that may be eaten as a vegetable.,,,,,,,,,,,
charm,a small ornament worn on a necklace or bracelet.,,,,,,,,,,,
chars,burn slightly and superficially so as to affect color.,,,,,,,,,,,
chart,a sheet of information in the form of a table, graph, or diagram.,,,,,,,,,
chase,pursue in order to catch or catch up with.,,,,,,,,,,,
chasm,a deep fissure in the earth, rock, or another surface.,,,,,,,,,
chats,talk in a friendly and informal way.,,,,,,,,,,,
cheap,(of an item for sale) low in price; worth more than its cost.,,,,,,,,,,,
cheat,act dishonestly or unfairly in order to gain an advantage.,,,,,,,,,,,
check,examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something.,,,,,,,,
cheek,either side of the face below the eye.,,,,,,,,,,,
cheep,(of a young bird) make a characteristic high-pitched sound.,,,,,,,,,,,
cheer,shout for joy or in praise or encouragement.,,,,,,,,,,,
chef,a professional cook, typically the chief cook in a restaurant or hotel.,,,,,,,,,,
chemo,short for chemotherapy.,,,,,,,,,,,
chert,a hard, dark, opaque rock composed of silica, found in limestone.,,,,,,,,
chess,a board game of strategic skill for two players, played on a checkered board. Each player begins with sixteen pieces that are moved and used to capture opposing pieces according to precise rules. The object is to put the opponent's king under a direct attack from which escape is impossible.,,,,,,,,,,
chest,the front surface of a person's or animal's body between the neck and the abdomen.,,,,,,,,,,,
chews,bite and work (food) in the mouth with the teeth, especially to make it easier to swallow.,,,,,,,,,,
chewy,(of food) needing to be chewed hard or for some time before being swallowed.,,,,,,,,,,,
chica,a girl or young woman.,,,,,,,,,,,
chick,a young bird, especially one newly hatched.,,,,,,,,,,
chico,a boy or young man.,,,,,,,,,,,
chide,scold or rebuke.,,,,,,,,,,,
chief,(in the Middle Ages) a head man or leader, especially of a village or a clan.,,,,,,,,,,
child,a young human being below the age of puberty or below the legal age of majority.,,,,,,,,,,,
chile,a hot-tasting pod of any of a number of cultivated varieties of capsicum, used in cooking.,,,,,,,,,,
chili,a small hot-tasting pod of a variety of capsicum, used chopped (and often dried) in sauces, relishes, and spice powders. There are various forms with pods of differing size, color, and strength of flavor, such as the relatively mild Anaheim and the extremely hot habanero.,,,,,
chill,make (someone) cold.,,,,,,,,,,,
chime,(of a bell or clock) make a melodious ringing sound.,,,,,,,,,,,
chimp,(in general use) a monkey.,,,,,,,,,,,
china,plates, dishes, cups, and other similar items, especially ones made of china.,,,,,,,
chine,a spinal column, especially of an animal, or a ridge in a landscape.,,,,,,,,,
ching,(of a kettle, pot, etc.) make a whistling sound when boiling.,,,,,,,,,
chino,relating to China.,,,,,,,,,,,
chins,(on a human or primate) the protruding part of the face below the mouth, formed by the apex of the lower jaw.,,,,,,,,,,
chips,a thin slice of food made crisp by being fried, baked, or dried and typically eaten as a snack.,,,,,,,,,
chirp,(of a small bird or an insect) make a shrill noise.,,,,,,,,,,,
chits,a short official note, memorandum, or voucher, typically recording a sum owed.,,,,,,,,
chive,a small bulbous plant that is related to the onion and has long slender leaves that are used as a culinary herb.,,,,,,,,,,,
chock,a wedge or block placed against a wheel or rounded object, to prevent it from moving.,,,,,,,,,,
choir,a group of people who sing together, especially in a church service.,,,,,,,,,,
choke,make (someone) unable to breathe properly; asphyxiate.,,,,,,,,,,,
chomp,the action or sound of chewing or munching heavily or noisily.,,,,,,,,,,,
chops,the lower part of the face, especially the fleshy lower part of each side of the jaw.,,,,,,,,,,
chord,a group of (typically three or more) notes sounded together, as a basis of harmony.,,,,,,,,,,
chore,a routine task, especially a household one.,,,,,,,,,,
chose,select (someone or something) from a number of alternatives; pick out.,,,,,,,,,,,
chows,food.,,,,,,,,,,,
chubs,a North American freshwater fish of the minnow family, with a thick-lipped mouth.,,,,,,,,,,
chuck,throw (something) carelessly or casually.,,,,,,,,,,,
chuff,a rude or gruff sound made by a person to express discontent.,,,,,,,,,,,
chugs,(of a person or vehicle) move slowly with much effort.,,,,,,,,,,,
chump,a foolish or easily deceived person.,,,,,,,,,,,
chums,a close friend.,,,,,,,,,,,
chunk,a thick, solid piece of something.,,,,,,,,,,
churn,stir or agitate (milk or cream) in a machine in order to produce butter.,,,,,,,,,,,
chute,a sloping channel or slide for conveying things to a lower level.,,,,,,,,,,,
cider,a fermented alcoholic drink made from apple juice; cider.,,,,,,,,,,,
cinch,a girth for a saddle.,,,,,,,,,,,
circa,(often preceding a date) approximately.,,,,,,,,,,,
cisco,a small North American whitefish, typically living in clear cold water.,,,,,,,,,,
cited,quote (a passage, book, or author) as evidence for or justification of an argument or statement, especially in a scholarly work.,,,,,,,,
cites,quote (a passage, book, or author) as evidence for or justification of an argument or statement, especially in a scholarly work.,,,,,,,,
civet,a small, lean, mostly nocturnal mammal native to tropical Asia and Africa, known for its ability to secrete a musky fluid for defense or marking territory.,,,,,,,,
civic,of or relating to a city or town, especially its administration; municipal.,,,,,,,,,,
civil,relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters.,,,,,,,,,,
civvy,a person who is not on active duty with a military, naval, police, or fire fighting force.,,,,,,,,
clack,make or cause to make a sound by striking together.,,,,,,,,,,,
clade,a group of organisms believed to have evolved from a common ancestor, according to the principles of cladistics.,,,,,,,,,,
claim,state or assert that something is the case, typically without providing evidence or proof.,,,,,,,,,,
clamp,fasten (something) in place with a clamp.,,,,,,,,,,,
clams,an edible marine bivalve with a shell that is slightly open.,,,,,,,,,,,
clang,a loud, resonant metallic sound or series of sounds.,,,,,,,,,,
clank,a loud, sharp sound or series of sounds, typically made by pieces of metal meeting.,,,,,,,,,
clans,a group of close-knit and interrelated families (especially associated with families in the Scottish Highlands).,,,,,,,,,,,
claps,strike the palms of (one's hands) together repeatedly, typically in order to applaud.,,,,,,,,,,
clash,(of two things) collide forcefully or angrily.,,,,,,,,,,,
clasp,grasp (something) tightly with one's hand.,,,,,,,,,,,
class,a set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality.,,,,,,,,,
clave,each of a pair of hardwood sticks that are struck together to make a sharp ringing sound, used especially in Spanish, Latin American, and Caribbean music.,,,,,,,,
claws,a curved pointed horny nail on each digit of the foot in birds, lizards, and some mammals.,,,,,,,,,
clays,a stiff, sticky fine-grained earth, typically yellow, red, or bluish-gray in color and often forming an impermeable layer in the soil. It can be molded when wet, and is dried and baked to make bricks, pottery, and ceramics.,,,,
clean,free from dirt, marks, or stains.,,,,,,,,,
clear,easy to perceive, understand, or interpret.,,,,,,,,,
cleat,a T-shaped piece of metal, wood, or plastic that is fixed to the ground or another surface and used to fasten or guide a rope or rope.,,,,,,,,,
clefs,a sign at the beginning of a staff to indicate the pitch of the notes written on it.,,,,,,,,,,,
cleft,a space or opening made by cleavage; a split.,,,,,,,,,,,
clerk,a person employed in an office or bank to keep records and accounts and to undertake other routine administrative duties.,,,,,,,,,,,
click,make or cause to make a short, sharp sound as of a switch being operated or of two hard objects coming quickly into contact.,,,,,,,,,,
cliff,a steep rock face, especially at the edge of the sea.,,,,,,,,,,
climb,go or move up (something) using both hands and feet.,,,,,,,,,,,
cline,a continuous gradation of traits or of related series of entities.,,,,,,,,,,,
cling,hold on tightly to.,,,,,,,,,,,
clink,(of metal objects, typically glasses or coins) make or cause to make a light, high-pitched ringing sound when struck or tapped together.,,,,,,,,,
clips,trim or remove the edge of (something) with scissors or shears.,,,,,,,,,,,
cloak,a sleeveless outdoor overgarment that hangs loosely from the shoulders.,,,,,,,,,,,
clock,a mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds by hands on a round dial or by displayed figures.,,,,,,,,
clods,a lump of earth or clay.,,,,,,,,,,,
clogs,wooden shoes.,,,,,,,,,,,
clomp,walk with a heavy tread.,,,,,,,,,,,
clone,a person or thing that duplicates, imitates, or closely resembles another in appearance, function, performance, or style.,,,,,,
close,move or cause to move so as to cover an opening.,,,,,,,,,,,
cloth,woven or felted fabric made from wool, cotton, or a similar fiber.,,,,,,,,,
clots,a thick mass of coagulated liquid, especially blood, or of material stuck together.,,,,,,,,,
cloud,a visible mass of condensed water vapor floating in the atmosphere, typically high above the ground.,,,,,,,,,,
clout,a heavy blow with the hand or a hard object.,,,,,,,,,,,
clove,the dried flower bud of a tropical tree, used as a pungent aromatic spice.,,,,,,,,,,
clown,a comic entertainer, especially one in a circus, wearing a traditional costume and exaggerated makeup.,,,,,,,,,
clubs,an organization of people with a common purpose or interest, who meet regularly and take part in shared activities.,,,,,,,,,,
cluck,(of a hen) make a short low sound in order to call its chicks.,,,,,,,,,,,
clued,provide (someone) with relevant information.,,,,,,,,,,,
clues,a piece of evidence or information used in the detection of a crime or solving of a mystery.,,,,,,,,,,,
clump,a compacted mass or lump of something.,,,,,,,,,,,
clung,(past tense and past participle of cling) adhere to (something) or hold on to (something) closely.,,,,,,,,,,,
clunk,make or cause to make a dull, hard sound, typically when struck.,,,,,,,,,
coach,a horse-drawn carriage or motor vehicle used for transporting passengers.,,,,,,,,,,,
coals,a combustible black or dark brown rock consisting chiefly of carbonized plant matter, found mainly in underground deposits and widely used as fuel.,,,,,,,,,,
coast,the part of the land near the sea; the edge of the land.,,,,,,,,,,,
coati,a mammal of the raccoon family, found in Central and South America, typically with a long nose and a ringed tail.,,,,,,,,,
coats,an outer garment with sleeves, worn outdoors and typically extending below the hips.,,,,,,,,,,
cobia,a large warm-water marine fish of tropical and subtropical seas, especially those of the Indo-Pacific region.,,,,,,,,,,
cobra,a highly venomous snake of the family Elapidae, native to Africa and Asia. ,,,,,,,,,,
cocci,a bacterium that is round, or nearly round, in shape.,,,,,,,,,
cocks,a male bird, especially a rooster.,,,,,,,,,,
cocky,(informal) conceited or confident in a bold or cheeky way.,,,,,,,,,,,
cocoa,powder made from roasted and ground cacao seeds, used in making chocolate, cocoa, and cocoa butter.,,,,,,,,
codas,a concluding event, remark, or section.,,,,,,,,,
codec,a device or computer program capable of encoding or decoding a digital data stream or signal.,,,,,,,,,,,
coded,convert (the words of a message) into a particular code in order to convey a secret meaning.,,,,,,,,,,,
coder,a person or machine that converts information or instructions into a particular form of code.,,,,,,,,,,,
codes,a system of words, letters, figures, or other symbols substituted for other words, letters, etc., especially for the purposes of secrecy.,,,,,
codex,an ancient manuscript text in book form.,,,,,,,,,,,
codon,a sequence of three nucleotides that together form a unit of genetic code in a DNA or RNA molecule.,,,,,,,,,,,
coeds,a female student at a coeducational institution.,,,,,,,,,,,
cohos,a salmon that is native to the Pacific coast of North America and is an important food fish.,,,,,,,,,,,
coifs,a woman's hairstyle, typically combed or brushed back from the forehead and held in place by pins or a headband.,,,,,,,,,,
coils,arrange or wind (something long and flexible) in a joined sequence of concentric circles or rings.,,,,,,,,,,,
coins,a flat, typically round piece of metal with an official stamp, used as money.,,,,,,,,,
cokes,a solid residue from coal or oil after carbon has been removed by distillation, used as a fuel or for the manufacture of iron and steel.,,,,,,,,,,
colas,a brown carbonated soft drink that is flavored with extracts of kola nuts, and other ingredients.,,,,,,,,,,
colds,a common viral infection in which the lining of the nose becomes inflamed, typically causing running at the nose, sneezing, a sore throat, and other symptoms.,,,,,,,
coles,a variety of cabbage with very large succulent leaves and a thick stem.,,,,,,,,,,,
colic,severe, often fluctuating pain in the abdomen caused by intestinal gas or obstruction in the intestines and suffered especially by babies.,,,,,,,,,,
colin,a saltwater fish of the cod family, typically having a barbel on the chin.,,,,,,,,,,
colon,the main part of the large intestine, which passes from the cecum to the rectum and absorbs water and electrolytes from food that has remained undigested.,,,,,,,,,,
color,the property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light.,,,,,,,,,,,
colts,a young uncastrated male horse, in particular one less than four years old.,,,,,,,,,,
comas,a state of deep unconsciousness that lasts for a prolonged or indefinite period, caused especially by severe injury or illness.,,,,,,,,,,
combo,a small jazz, dance, or pop band.,,,,,,,,,
combs,a flat toothed implement used for untangling or arranging the hair.,,,,,,,,,,,
comer,a person or thing that is arriving or becoming prominent or successful.,,,,,,,,,,,
comes,move or travel towards or into a place thought of as near or familiar to the speaker.,,,,,,,,,,,
comet,a celestial object consisting of a nucleus of ice and dust and, when near the sun," a ""tail"" of gas and dust particles pointing away from the sun.",,,,,,,,,
comfy,(informal) comfortable.,,,,,,,,,,,
comic,a comedian, especially a professional one.,,,,,,,,,,
comma,a punctuation mark (,) indicating a pause between parts of a sentence or separating items in a list.,,,,,,,,,,
commo,a temporary system of communication in time of emergency, especially for military or police use.,,,,,,,,,,
compo,a type of cement used as a building material and made by grinding a mixture of clay, limestone, and other minerals, and then firing it at high heat.,,,,,,,,
comps,a complimentary ticket, voucher, or other free item given to a customer, especially as a promotional offer.,,,,,,,,
comte,(French) count.,,,,,,,,,,,
conch,a tropical marine mollusk with a spiral shell that may bear long projections and have a flared lip.,,,,,,,,,,,
condo,a condominium.,,,,,,,,,,,
coned,shaped like a cone.,,,,,,,,,,,
cones,a solid or hollow object which tapers from a circular or roughly circular base to a point.,,,,,,,,,,,
coney,a rabbit, especially the European rabbit (Oryctolagus cuniculus), typically having grayish fur and large hind legs.,,,,,,,,,
conga,a Cuban dance of African origin, involving three steps forward followed by a kick, characteristically performed by a group following a leader in a single line.,,,,,,,,,
congo,a republic in central Africa, on the equator, with a coastline on the Atlantic Ocean; population 5,400,000 (estimated 2015); official languages, French (national) and Lingala; capital, Brazzaville.,,,,,
conic,relating to or shaped like a cone.,,,,,,,,,,,
conks,hit (someone) on the head.,,,,,,,,,,,
cooed,(of a pigeon or dove) make a soft murmuring sound.,,,,,,,,,,,
cooks,prepare (food, a dish, or a meal) by combining and heating the ingredients in various ways.,,,,,,,,,
cools,become or cause to become less hot.,,,,,,,,,,,
coops,an enclosure with a wire or barbed wire top, in which poultry or game birds can be kept and protected.,,,,,,,,,,
coopt,appoint to membership of a committee or other body by invitation of the existing members.,,,,,,,,,,,
coped,deal effectively with something difficult.,,,,,,,,,,,
coper,a person who deals effectively with something difficult.,,,,,,,,,,,
copes,deal effectively with something difficult.,,,,,,,,,,,
copra,the dried meat of the coconut, from which coconut oil is extracted.,,,,,,,,,,
copse,a small group of trees.,,,,,,,,,,,
coral,a hard stony substance secreted by certain marine coelenterates as an external skeleton, typically forming large reefs in warm seas.,,,,,,,,,,
cords,a long, thin, flexible string or rope made from several twisted strands.,,,,,,,,,
cored,remove the tough central part and seeds from (a fruit).,,,,,,,,,,,
corer,a device for removing the core from an apple or similar fruit.,,,,,,,,,,,
cores,the tough central part and seeds of a fruit, especially those of an apple or pear.,,,,,,,,,,
corgi,a dog of a short-legged, long-backed breed.,,,,,,,,,,
corks,a stopper for sealing a bottle, especially one made of cork.,,,,,,,,,,
corky,resembling cork in texture or appearance.,,,,,,,,,,,
corms,a short, vertical, swollen underground plant stem that serves as a storage organ used by some plants to survive winter or other adverse conditions such as summer drought and heat (perennation).,,,,,,,,,
corns,a small, hard, seed-like fruit or seed of a cereal plant.,,,,,,,,,
cornu,(anatomy) a projecting part or prominence, especially of bone.,,,,,,,,,,
corny,(of a joke or other humorous event) stale, trite, or overly sentimental.,,,,,,,,,
corps,a main subdivision of an army in the field, consisting of two or more divisions.,,,,,,,,,,
costs,(in economics) the value of money that has been used up to produce something, and therefore is not available for use anymore.,,,,,,,,,,
cotta,a short surplice, typically sleeveless or with short sleeves, worn over a cassock by clergy and choristers.,,,,,,,,,
couch,a long upholstered piece of furniture for several people to sit on.,,,,,,,,,,,
cough,expel air from the lungs with a sudden sharp sound.,,,,,,,,,,,
could,used to indicate past ability or permission.,,,,,,,,,,,
count,recite or display numbers backward to zero to indicate the time remaining before the launch of a rocket or the start of an operation.,,,,,,,,,,,
coupe,a car with a fixed roof and two doors.,,,,,,,,,,,
coups,a sudden, violent, and illegal seizure of power from a government.,,,,,,,,,
court,a tribunal presided over by a judge, judges, or a magistrate in civil and criminal cases.,,,,,,,,,
coven,a group or gathering of witches who meet regularly.,,,,,,,,,,,
cover,put something such as a cloth or lid on top of or in front of (something) in order to protect or conceal it.,,,,,,,,,,,
coves,a small sheltered bay in the coastline of a sea, river, or lake.,,,,,,,,,
covet,yearn to possess or have (something).,,,,,,,,,,,
covey,a small group of people or things.,,,,,,,,,,,
cowed,cause (someone) to submit to one's wishes by intimidation.,,,,,,,,,,,
cower,crouch down in fear.,,,,,,,,,,,
coyer,reluctant to give information owing to caution or suspicion.,,,,,,,,,,,
coyly,artfully or affectedly shy or reserved; slyly hesitant; coquettish.,,,,,,,,,,,
cozen,trick or deceive.,,,,,,,,,,,
cozy,suggesting or contributing to warmth and friendliness.,,,,,,,,,,,
crabs,a crustacean of the family Brachyura, having a very short tail and a broad, flattened carapace.,,,,,,,,,
crack,a narrow space between parts of something, typically one that has broken or been taken apart.,,,,,,,,,,
craft,an activity involving skill in making things by hand.,,,,,,,,,,,
crags,a steep or rugged cliff or rock face.,,,,,,,,,,,
cramp,a painful, involuntary contraction of a muscle or muscles, typically caused by fatigue or strain.,,,,,,,,,
crane,a large, tall machine used for moving heavy objects by suspending them from a projecting arm or beam.,,,,,,,,,,
crank,turn the crankshaft of (an internal combustion engine) in order to start the engine.,,,,,,,,,,,
crape,a thin, light, delicate fabric produced by weaving with silk, polyester, or other fibers with a gauze-like texture.,,,,,,,
craps,(informal) nonsense.,,,,,,,,,,,
crash,(of a vehicle) collide violently with an obstacle or another vehicle.,,,,,,,,,,,
crass,(of a person or their behavior) stupid; coarse.,,,,,,,,,,,
crate,a slatted wooden case used for transporting or storing goods.,,,,,,,,,,,
crave,feel a powerful desire for (something).,,,,,,,,,,,
crawl,(of a person) move forward on the hands and knees or by dragging the body close to the ground.,,,,,,,,,,,
craws,the crop of a bird or insect.,,,,,,,,,,,
craze,a widespread enthusiasm for something; a craze.,,,,,,,,,,,
crazy,mentally deranged, especially as manifested in a wild or aggressive way.,,,,,,,,,,
creak,a harsh, high-pitched sound, typically made by a door or floorboard.,,,,,,,,,
cream,the thick white or pale yellow fatty liquid that rises to the top when milk is left to stand and that can be eaten as an accompaniment to desserts or used as a cooking ingredient.,,,,,,,,,,,
credo,a statement of the beliefs or aims that guide someone's actions.,,,,,,,,,,,
creed,a system of Christian or other religious belief; a faith.,,,,,,,,,,,
